reaction,value
SGSAD,nad_c + sucgsa_c + h2o_c --> sucglu_c + nadh_c + 2 h_c
EX_progly_e,progly_e --> 
OCDCEAtexi,ocdcea_e --> ocdcea_p
EX_rib__D_e,rib__D_e --> 
FECRMUtex,h_p + fecrm__un_p --> h_c + fecrm__un_e
HYD2pp,mqn8_c + 2 h_c + h2_c --> 2 h_p + mql8_c
SERD_D,ser__D_c --> pyr_c + nh4_c
FACOAE161,h2o_c + hdcoa_c --> hdcea_c + h_c + coa_c
FACOAE160,h2o_c + pmtcoa_c --> hdca_c + coa_c + h_c
APH120,ddcap_c + h2o_c --> ddca_c + 2 h_c + pi_c
GLYALDtex,glyald_e <=> glyald_p
EX_glyc2p_e,glyc2p_e --> 
FECRMtonex,h_p + fecrm_e --> fecrm_p + h_c
ALDD2y,h2o_c + nadp_c + acald_c --> 2 h_c + ac_c + nadph_c
ALDD2x,h2o_c + acald_c + nad_c --> 2 h_c + nadh_c + ac_c
G6Ptex,g6p_e <=> g6p_p
PGPP140pp,pgp140_p + h2o_p --> pg140_p + pi_p
PLIPA2G160pp,h2o_p + pg160_p --> 1agpg160_p + hdca_p + h_p
EX_chtbs_e,chtbs_e --> 
UGLYCH,h2o_c + 2 h_c + urdglyc_c --> 2 nh4_c + co2_c + glx_c
GCALDD,nad_c + gcald_c + h2o_c --> 2 h_c + nadh_c + glyclt_c
23PDE4pp,h2o_p + 23ccmp_p --> 3cmp_p + h_p
EX_tartr__L_e,tartr__L_e --> 
PSERtex,pser__L_e <=> pser__L_p
THZPSN3,dhgly_c + h_c + iscssh_c + nadph_c + dxyl5p_c + atp_c --> 4mpetz_c + nadp_c + co2_c + amp_c + iscs_c + ppi_c + 2 h2o_c
SERD_L,ser__L_c --> pyr_c + nh4_c
ANS,gln__L_c + chor_c --> h_c + anth_c + glu__L_c + pyr_c
SEPHCHCS,h_c + ichor_c + akg_c --> 2sephchc_c + co2_c
CYTDtex,cytd_e <=> cytd_p
EX_galctn__D_e,galctn__D_e --> 
NADK,nad_c + atp_c --> nadp_c + h_c + adp_c
EX_ser__L_e,ser__L_e --> 
LPADSS,u23ga_c + lipidX_c --> lipidAds_c + h_c + udp_c
2AGPGAT141,ttdcea_c + atp_c + 2agpg141_c --> pg141_c + amp_c + ppi_c
2AGPGAT140,atp_c + 2agpg140_c + ttdca_c --> amp_c + pg140_c + ppi_c
EX_cobalt2_e,cobalt2_e <=> 
EX_cyan_e,cyan_e --> 
H2tex,h2_e <=> h2_p
MELIBtex,melib_e <=> melib_p
METabcpp,h2o_c + met__L_p + atp_c --> h_c + met__L_c + pi_c + adp_c
EX_3gmp_e,3gmp_e --> 
GUAD,gua_c + h_c + h2o_c --> nh4_c + xan_c
NO3R2bpp,no3_p + mql8_c --> mqn8_c + no2_p + h2o_p
EX_hom__L_e,hom__L_e --> 
FESD1s,2 h_c + h2o2_c + 2 4fe4s_c --> 2 h2o_c + 2 fe3_c + 2 3fe4s_c
FUMt2_3pp,3 h_p + fum_p --> fum_c + 3 h_c
DHPTDCs2,dhptd_c --> mdhdhf_c
GLUCYS,glu__L_c + cys__L_c + atp_c --> h_c + adp_c + pi_c + glucys_c
DUMPtex,dump_e <=> dump_p
EX_mg2_e,mg2_e <=> 
CLPNH140pp,clpn140_p + h2o_p --> pg140_p + h_p + pa140_p
NTRIR2x,5 h_c + 3 nadh_c + no2_c --> 3 nad_c + nh4_c + 2 h2o_c
FUSAtpp,h_p + fusa_p --> h_c + fusa_e
ALAALAabcpp,h2o_c + atp_c + alaala_p --> h_c + alaala_c + adp_c + pi_c
TALA,s7p_c + g3p_c <=> f6p_c + e4p_c
MEOHtrpp,meoh_p <=> meoh_c
GOFUCR,nadph_c + gdpofuc_c + h_c --> gdpfuc_c + nadp_c
NADH16pp,nadh_c + 4 h_c + q8_c --> nad_c + 3 h_p + q8h2_c
ARGt3pp,h_p + arg__L_c --> arg__L_p + h_c
HSST,succoa_c + hom__L_c --> coa_c + suchms_c
TMAOR2pp,tmao_p + h_p + 2dmmql8_c --> tma_p + h2o_p + 2dmmq8_c
3OAR141,h_c + 3ocmrs7eACP_c + nadph_c --> 3hcmrs7eACP_c + nadp_c
3OAR140,nadph_c + 3omrsACP_c + h_c <=> nadp_c + 3hmrsACP_c
EX_alaala_e,alaala_e --> 
EX_isetac_e,isetac_e --> 
LYXtex,lyx__L_e <=> lyx__L_p
DXPRIi,dxyl5p_c + h_c + nadph_c --> 2me4p_c + nadp_c
EX_lipoate_e,lipoate_e --> 
PAPSR2,grxrd_c + paps_c --> 2 h_c + so3_c + pap_c + grxox_c
THIORDXi,h2o2_c + trdrd_c --> trdox_c + 2 h2o_c
FACOAE181,odecoa_c + h2o_c --> h_c + ocdcea_c + coa_c
FACOAE180,stcoa_c + h2o_c --> ocdca_c + h_c + coa_c
PUNP6,pi_c + din_c <=> 2dr1p_c + hxan_c
PUNP7,pi_c + xtsn_c <=> r1p_c + xan_c
LPLIPAL1A180pp,h2o_p + 1odecg3p_p --> glyc3p_p + ocdca_p + h_p
PUNP2,pi_c + dad__2_c <=> ade_c + 2dr1p_c
5MTRtpp,h_c + 5mtr_c --> h_p + 5mtr_p
LPLIPAL2E180,2agpe180_c + h2o_c --> g3pe_c + h_c + ocdca_c
LPLIPAL2E181,h2o_c + 2agpe181_c --> ocdcea_c + g3pe_c + h_c
SO4t2pp,h_p + so4_p --> h_c + so4_c
DHPTDNRN,3 h_c + nadh_c + dhptdn_c --> thptdn_c + nad_c
ASPO3,asp__L_c + q8_c --> iasp_c + q8h2_c + h_c
ASPO4,mqn8_c + asp__L_c --> mql8_c + h_c + iasp_c
ASPO5,asp__L_c + fum_c --> iasp_c + h_c + succ_c
ASPO6,asp__L_c + o2_c --> iasp_c + h2o2_c + h_c
EX_arbt_e,arbt_e --> 
GLYt4pp,gly_p + na1_p --> na1_c + gly_c
CYTDK2,cytd_c + gtp_c --> h_c + cmp_c + gdp_c
CPMPS,gtp_c + h2o_c --> ppi_c + cpmp_c
TTDCEAtexi,ttdcea_e --> ttdcea_p
MDH3,mqn8_c + mal__L_c --> mql8_c + oaa_c
MDH2,q8_c + mal__L_c --> q8h2_c + oaa_c
EX_mobd_e,mobd_e <=> 
PTRCabcpp,h2o_c + atp_c + ptrc_p --> h_c + ptrc_c + pi_c + adp_c
ASPt2_2pp,asp__L_p + 2 h_p --> asp__L_c + 2 h_c
EX_ocdcea_e,ocdcea_e --> 
R5Ptex,r5p_e <=> r5p_p
DMSOR2,2dmmql8_c + dmso_c --> 2dmmq8_c + h2o_c + dms_c
DMSOR1,mql8_c + dmso_c --> mqn8_c + h2o_c + dms_c
HEMEOS,frdp_c + h2o_c + pheme_c --> hemeO_c + ppi_c
NADTRHD,nadph_c + nad_c --> nadh_c + nadp_c
IPPS,h2o_c + 3mob_c + accoa_c --> 3c3hmp_c + h_c + coa_c
COBALT2t3pp,h_p + cobalt2_c --> cobalt2_p + h_c
PGP160abcpp,h2o_c + atp_c + pgp160_c --> h_c + pgp160_p + pi_c + adp_c
ARBtex,arab__L_e <=> arab__L_p
PG181abcpp,h2o_c + pg181_c + atp_c --> pg181_p + pi_c + adp_c + h_c
GAL1Ptex,gal1p_e <=> gal1p_p
AGM3Pt2pp,h_p + anhgm3p_p --> anhgm3p_c + h_c
EX_ser__D_e,ser__D_e --> 
3KGK,atp_c + 3dhguln_c --> adp_c + 3dhgulnp_c + h_c
EX_no3_e,no3_e --> 
FRUURtex,fruur_e <=> fruur_p
2AGPGAT160,atp_c + 2agpg160_c + hdca_c --> pg160_c + amp_c + ppi_c
MMCD,h_c + mmcoa__S_c --> ppcoa_c + co2_c
GAL1PPpp,h2o_p + gal1p_p --> pi_p + gal_p
EAR100x,nadh_c + tdec2eACP_c + h_c --> dcaACP_c + nad_c
EAR100y,nadph_c + tdec2eACP_c + h_c --> dcaACP_c + nadp_c
NTPTP2,gtp_c + h2o_c --> pppi_c + gsn_c
EX_ttdcea_e,ttdcea_e --> 
DAGK161,12dgr161_c + atp_c --> adp_c + pa161_c + h_c
DAGK160,12dgr160_c + atp_c --> pa160_c + adp_c + h_c
PSD120,h_c + ps120_c --> co2_c + pe120_c
FEOXAMUtex,h_p + feoxam__un_p --> h_c + feoxam__un_e
MG2tex,mg2_e <=> mg2_p
ZN2abcpp,h2o_c + zn2_c + atp_c --> h_c + zn2_p + pi_c + adp_c
PSERT,glu__L_c + 3php_c --> pser__L_c + akg_c
CUt3,cu_c + h_e --> h_c + cu_e
METSOX1tex,metsox__S__L_e <=> metsox__S__L_p
H2Otpp,h2o_p <=> h2o_c
AICART,10fthf_c + aicar_c <=> thf_c + fprica_c
TAURtex,taur_e <=> taur_p
BTNtex,btn_e <=> btn_p
EX_gal1p_e,gal1p_e --> 
ACNML,acnam_c --> acmana_c + pyr_c
MG2t3_2pp,mg2_p + 2 h_c <=> 2 h_p + mg2_c
NADN,nad_c + h2o_c --> adprib_c + ncam_c + h_c
GALCTD,galct__D_c --> 5dh4dglc_c + h2o_c
TREH,h2o_c + tre_c --> 2 glc__D_c
MACPD,malACP_c + h_c --> co2_c + acACP_c
SPMDabcpp,h2o_c + spmd_p + atp_c --> h_c + spmd_c + pi_c + adp_c
ALDD4,nad_c + btal_c + h2o_c --> but_c + nadh_c + 2 h_c
LIPAabctex,lipa_p + atp_c + h2o_c --> h_c + lipa_e + pi_c + adp_c
PTPATi,atp_c + pan4p_c + h_c --> ppi_c + dpcoa_c
AHCYSNS,ahcys_c + h2o_c --> rhcys_c + ade_c
LPLIPAL2E140,h2o_c + 2agpe140_c --> ttdca_c + h_c + g3pe_c
CMtex,cm_e <=> cm_p
EX_h2o_e,h2o_e <=> 
4PCP,LalaDgluMdapDala_c + h2o_c --> ala__D_c + LalaDgluMdap_c
GLGC,h_c + atp_c + g1p_c --> ppi_c + adpglc_c
TKT2,e4p_c + xu5p__D_c <=> g3p_c + f6p_c
TKT1,r5p_c + xu5p__D_c <=> s7p_c + g3p_c
UDPGLCURtex,udpglcur_e <=> udpglcur_p
GLCATr,accoa_c + glc__D_c <=> acglc__D_c + coa_c
FE2t2pp,h_p + fe2_p --> fe2_c + h_c
EX_chol_e,chol_e --> 
GGPTRCS,atp_c + ptrc_c + glu__L_c --> ggptrc_c + adp_c + h_c + pi_c
EX_h2s_e,h2s_e --> 
NTRIR4pp,2 h_p + 3 mql8_c + no2_p --> 3 mqn8_c + nh4_p + 2 h2o_p
SERAT,ser__L_c + accoa_c <=> coa_c + acser_c
EX_melib_e,melib_e --> 
EX_n2o_e,n2o_e --> 
ASNtex,asn__L_e <=> asn__L_p
CHRPL,chor_c --> 4hbz_c + pyr_c
CYNTtex,cynt_e <=> cynt_p
EX_12ppd__S_e,12ppd__S_e --> 
ACM6PH,h2o_c + acmum6p_c --> lac__D_c + acgam6p_c
PMDPHT,5aprbu_c + h2o_c --> pi_c + 4r5au_c
ACALD,nad_c + acald_c + coa_c <=> nadh_c + h_c + accoa_c
METDabcpp,h2o_c + atp_c + met__D_p --> h_c + met__D_c + pi_c + adp_c
DGMPtex,dgmp_e <=> dgmp_p
ACt2rpp,h_p + ac_p <=> h_c + ac_c
O16GLCT2,udpg_c + gfgaragund_c --> udp_c + h_c + o16aund_c
MDDCP5pp,murein5p3p_p + h2o_p --> murein4p3p_p + ala__D_p
23CCMPtex,23ccmp_e <=> 23ccmp_p
GLU5K,atp_c + glu__L_c --> adp_c + glu5p_c
GDPTPDP,gdptp_c + h2o_c --> gtp_c + ppi_c
GLYCK2,glyc__R_c + atp_c --> h_c + adp_c + 2pg_c
G6PDA,gam6p_c + h2o_c --> f6p_c + nh4_c
SPODMpp,2 o2s_p + 2 h_p --> h2o2_p + o2_p
MPTG2,murein5p5p_p + uaagmda_c --> murein5p5p5p_p + udcpdp_c + h_c
MLTG5,h2o_c + malthp_c --> malthx_c + glc__D_c
MLTG4,h2o_c + malthx_c --> maltpt_c + glc__D_c
ACACCT,accoa_c + acac_c --> ac_c + aacoa_c
3HAD80,3hoctACP_c --> toct2eACP_c + h2o_c
LPLIPAL2ATG181,2agpg181_c + pg181_c --> g3pg_c + apg181_c
LPLIPAL2ATG180,pg180_c + 2agpg180_c --> apg180_c + g3pg_c
DKGLCNR1,nadph_c + h_c + 25dkglcn_c --> 2dhguln_c + nadp_c
HXAND,hxan_c + nad_c + h2o_c --> nadh_c + h_c + xan_c
G1Ptex,g1p_e <=> g1p_p
EX_indole_e,indole_e --> 
GLCRtex,glcr_e <=> glcr_p
H2St1pp,h2s_c --> h2s_p
G3PIabcpp,h2o_c + g3pi_p + atp_c --> pi_c + g3pi_c + adp_c + h_c
LDH_D,nad_c + lac__D_c <=> nadh_c + pyr_c + h_c
RBK,atp_c + rib__D_c --> adp_c + h_c + r5p_c
ECAtpp,unagamuf_c --> unagamuf_p
OMCDC,3c4mop_c + h_c --> co2_c + 4mop_c
CBIuabcpp,cbi_p + h2o_c + atp_c --> h_c + cbi_c + pi_c + adp_c
EX_dcyt_e,dcyt_e --> 
O16AUNDtpp,o16aund_c --> o16aund_p
SELCYSS,selnp_c + sertrna_sec__c --> sectrna_c + h_c + pi_c
SARCOX,sarcs_c + h2o_c + o2_c --> h2o2_c + fald_c + gly_c
ACS,ac_c + coa_c + atp_c --> accoa_c + amp_c + ppi_c
EX_damp_e,damp_e --> 
URItex,uri_e <=> uri_p
ME1,nad_c + mal__L_c --> nadh_c + pyr_c + co2_c
METOX2s,h2o2_c + met__L_c --> metsox__R__L_c + h2o_c
IMPtex,imp_e <=> imp_p
EX_lipa_e,lipa_e --> 
GALCTNt2pp,h_p + galctn__D_p --> galctn__D_c + h_c
14GLUCANabcpp,h2o_c + atp_c + 14glucan_p --> h_c + 14glucan_c + pi_c + adp_c
FDMO,fmnh2_c + isetac_c + o2_c --> fmn_c + h2o_c + so3_c + h_c + gcald_c
PTAr,accoa_c + pi_c <=> coa_c + actp_c
AGMt2pp,h_p + anhgm_p --> anhgm_c + h_c
PROGLYabcpp,h2o_c + progly_p + atp_c --> h_c + progly_c + pi_c + adp_c
CLPNH160pp,h2o_p + clpn160_p --> pa160_p + h_p + pg160_p
PYDXPP,pydx5p_c + h2o_c --> pydx_c + pi_c
EX_crn__D_e,crn__D_e --> 
EX_minohp_e,minohp_e --> 
EX_alltn_e,alltn_e --> 
EAR60x,h_c + nadh_c + thex2eACP_c --> nad_c + hexACP_c
EAR60y,thex2eACP_c + nadph_c + h_c --> hexACP_c + nadp_c
CDAPPA161,h2o_c + cdpdhdec9eg_c --> 2 h_c + pa161_c + cmp_c
CDAPPA160,cdpdhdecg_c + h2o_c --> pa160_c + cmp_c + 2 h_c
RMNtex,rmn_e <=> rmn_p
NTD1pp,h2o_p + dump_p --> pi_p + duri_p
MLDCP2App,h2o_p + murein5p5p_p --> murein5p3p_p + alaala_p
DASYN120,pa120_c + h_c + ctp_c --> ppi_c + cdpdddecg_c
MTHFC,h2o_c + methf_c <=> h_c + 10fthf_c
EX_gsn_e,gsn_e --> 
MTHFD,nadp_c + mlthf_c <=> nadph_c + methf_c
CLPNS141pp,2 pg141_p <=> glyc_p + clpn141_p
OXDHCOAT,3oxdhscoa_c + coa_c --> accoa_c + 23dhacoa_c
TRPS1,3ig3p_c + ser__L_c --> g3p_c + h2o_c + trp__L_c
CD2t3pp,h_p + cd2_c --> cd2_p + h_c
FE2t3pp,fe2_c + h_p --> fe2_p + h_c
DHAtex,dha_e <=> dha_p
DURIt2pp,h_p + duri_p --> duri_c + h_c
DOXRBCNtex,doxrbcn_e <=> doxrbcn_p
EX_met__D_e,met__D_e --> 
3HAD60,3hhexACP_c --> h2o_c + thex2eACP_c
OMPDC,h_c + orot5p_c --> co2_c + ump_c
2AGPEAT161,hdcea_c + atp_c + 2agpe161_c --> pe161_c + amp_c + ppi_c
2AGPEAT160,2agpe160_c + atp_c + hdca_c --> amp_c + pe160_c + ppi_c
PLIPA1A180pp,pa180_p + h2o_p --> ocdca_p + 2odecg3p_p
TDP,h2o_c + thmpp_c --> thmmp_c + pi_c + h_c
EX_26dap__M_e,26dap__M_e --> 
OHPHM,2ohph_c + amet_c --> h_c + ahcys_c + 2omph_c
UACGAMPpp,uacgam_p + h2o_p --> 2 h_p + acgam1p_p + ump_p
PPAt4pp,ppa_p + na1_p --> na1_c + ppa_c
EX_dcmp_e,dcmp_e --> 
EX_so3_e,so3_e --> 
TYROXDApp,o2_p + h2o_p + tym_p --> h2o2_p + 4hoxpacd_p + nh4_p
NADDP,nad_c + h2o_c --> nmn_c + amp_c + 2 h_c
CRNDtex,crn__D_e <=> crn__D_p
GTPtex,gtp_e <=> gtp_p
NOVBCNtpp,novbcn_p + h_p --> novbcn_e + h_c
R1PK,r1p_c + atp_c --> r15bp_c + adp_c + h_c
AOBUTDs,h_c + 2aobut_c --> aact_c + co2_c
HCYSMT2,hcys__L_c + mmet_c --> h_c + 2 met__L_c
EAR181y,nadph_c + h_c + t3c11vaceACP_c --> octeACP_c + nadp_c
EAR181x,h_c + t3c11vaceACP_c + nadh_c --> octeACP_c + nad_c
MDDCP4pp,murein5p4p_p + h2o_p --> murein4p4p_p + ala__D_p
ADCL,4adcho_c --> 4abz_c + h_c + pyr_c
EX_acgal1p_e,acgal1p_e --> 
DPCOAK,dpcoa_c + atp_c --> adp_c + h_c + coa_c
GLYCLTDy,nadph_c + glx_c + h_c --> glyclt_c + nadp_c
HSDy,hom__L_c + nadp_c <=> nadph_c + aspsa_c + h_c
ADCS,chor_c + gln__L_c --> glu__L_c + 4adcho_c
NOtpp,no_p <=> no_c
GLYCLTDx,h_c + nadh_c + glx_c --> nad_c + glyclt_c
FE2abcpp,h2o_c + fe2_p + atp_c --> h_c + pi_c + adp_c + fe2_c
NMNDA,h2o_c + nmn_c --> nicrnt_c + nh4_c
EX_fald_e,fald_e --> 
EX_maltttr_e,maltttr_e --> 
DCMPtex,dcmp_e <=> dcmp_p
CDAPPA181,cdpdodec11eg_c + h2o_c --> 2 h_c + pa181_c + cmp_c
CDAPPA180,h2o_c + cdpdodecg_c --> pa180_c + cmp_c + 2 h_c
FUCtex,fuc__L_e <=> fuc__L_p
EX_cys__L_e,cys__L_e --> 
PGMT,g1p_c <=> g6p_c
GLYAT,accoa_c + gly_c <=> 2aobut_c + coa_c
ANHGMtex,anhgm_e <=> anhgm_p
GLYCLTtex,glyclt_e <=> glyclt_p
SUCTARTtpp,tartr__D_p + succ_c --> tartr__D_c + succ_p
ZNabcpp,h2o_c + zn2_p + atp_c --> h_c + zn2_c + pi_c + adp_c
LPLIPAL2ATE141,pg141_c + 2agpe141_c --> g3pe_c + apg141_c
DHPTDNR,3 h_c + dhptdn_c + nadph_c --> nadp_c + thptdn_c
UAMAGS,glu__D_c + uama_c + atp_c --> h_c + pi_c + adp_c + uamag_c
EX_23dappa_e,23dappa_e --> 
FRUURt2rpp,h_p + fruur_p <=> h_c + fruur_c
ADNtex,adn_e <=> adn_p
DHPS2,6hmhptpp_c + 4abz_c --> dhpt_c + ppi_c
PYDXtex,pydx_e <=> pydx_p
LPLIPAL1E141pp,h2o_p + 1agpe141_p --> h_p + g3pe_p + ttdcea_p
FACOAE60,h2o_c + hxcoa_c --> hxa_c + coa_c + h_c
DHBSH,h2o_c + 23dhbzs_c --> 23dhb_c + ser__L_c
GLYOX3,mthgxl_c + h2o_c --> h_c + lac__D_c
ACACT4r,occoa_c + accoa_c <=> 3odcoa_c + coa_c
PLIPA1E180pp,pe180_p + h2o_p --> ocdca_p + h_p + 2agpe180_p
METSOXR2,trdrd_c + metsox__R__L_c --> trdox_c + h2o_c + met__L_c
TMPPP,4mpetz_c + h_c + 2mahmp_c --> thmmp_c + ppi_c
ARGORNt7pp,arg__L_p + orn_c <=> arg__L_c + orn_p
METSOXR1,trdrd_c + metsox__S__L_c --> trdox_c + h2o_c + met__L_c
PLIPA1G140pp,pg140_p + h2o_p --> ttdca_p + h_p + 2agpg140_p
Ec_biomass_iJO1366_core_53p95M,0.001831 nad_c + 0.026166 dttp_c + 0.215792 ser__L_c + 0.153686 met__L_c + 0.423162 val__L_c + 0.000447 nadp_c + 0.26316 glu__L_c + 0.026166 datp_c + 0.00026 4fe4s_c + 0.054154 pe161_c + 0.137896 tyr__L_c + 0.000223 mlthf_c + 0.006715 fe2_c + 0.005205 cl_c + 0.26316 gln__L_c + 0.185265 phe__L_c + 0.000223 2ohph_c + 0.290529 ile__L_c + 0.000223 fad_c + 0.133508 ctp_c + 0.004338 so4_c + 0.000223 thmpp_c + 0.000576 coa_c + 0.241055 asn__L_c + 7e-06 mobd_c + 0.513689 ala__L_c + 0.215096 gtp_c + 0.000341 zn2_c + 0.019456 kdo2lipid4_e + 0.000223 pheme_c + 0.017868 pe160_c + 0.241055 asp__L_c + 2e-06 btn_c + 0.000223 amet_c + 0.343161 lys__L_c + 0.000223 thf_c + 0.000709 cu2_c + 0.295792 arg__L_c + 0.005205 ca2_c + 0.013013 nh4_c + 0.02106 pe161_p + 0.013894 murein5px4p_p + 0.144104 utp_c + 0.094738 his__L_c + 0.027017 dgtp_c + 0.253687 thr__L_c + 0.000323 ni2_c + 0.221055 pro__L_c + 0.000691 mn2_c + 54.124831 atp_c + 0.612638 gly_c + 2.5e-05 cobalt2_c + 0.000223 sheme_c + 0.450531 leu__L_c + 0.027017 dctp_c + 48.601527 h2o_c + 0.007808 fe3_c + 0.045946 pe160_p + 0.000223 pydx5p_c + 0.195193 k_c + 0.000223 ribflv_c + 5.5e-05 udcpdp_c + 0.056843 trp__L_c + 0.000223 10fthf_c + 0.000122 bmocogdp_c + 0.09158 cys__L_c + 0.008675 mg2_c + 2.6e-05 2fe2s_c --> 53.945662 pi_c + 0.773903 ppi_c + 53.95 h_c + 53.95 adp_c
FACOAL80t2pp,h_p + coa_c + atp_c + octa_p --> occoa_c + amp_c + ppi_c + h_c
PGSA161,glyc3p_c + cdpdhdec9eg_c --> h_c + pgp161_c + cmp_c
FACOAE80,occoa_c + h2o_c --> octa_c + coa_c + h_c
TRE6PH,h2o_c + tre6p_c --> g6p_c + glc__D_c
EX_gam_e,gam_e --> 
OMBZLM,2ombzl_c + amet_c --> 2ommbl_c + ahcys_c + h_c
TRE6PP,tre6p_c + h2o_c --> pi_c + tre_c
TRE6PS,g6p_c + udpg_c --> udp_c + h_c + tre6p_c
PDX5PS,nad_c + phthr_c + dxyl5p_c --> pdx5p_c + nadh_c + co2_c + h_c + pi_c + 2 h2o_c
RNDR4b,grxrd_c + udp_c --> h2o_c + grxox_c + dudp_c
DMQMT,2omhmbl_c + amet_c --> h_c + ahcys_c + q8h2_c
EX_glyb_e,glyb_e --> 
GALtex,gal_e <=> gal_p
4PCPpp,LalaDgluMdapDala_p + h2o_p --> ala__D_p + LalaDgluMdap_p
FRUptspp,pep_c + fru_p --> pyr_c + f1p_c
PPNCL2,4ppan_c + ctp_c + cys__L_c --> cmp_c + h_c + 4ppcys_c + ppi_c
APG3PAT120,glyc3p_c + ddcap_c --> h_c + pi_c + 1ddecg3p_c
3OAR180,nadph_c + 3ooctdACP_c + h_c <=> 3hoctaACP_c + nadp_c
TMDPP,thymd_c + pi_c <=> 2dr1p_c + thym_c
G3PAT140,glyc3p_c + myrsACP_c --> ACP_c + 1tdecg3p_c
FALDH2,nad_c + hmgth_c <=> Sfglutth_c + nadh_c + h_c
CITtex,cit_e <=> cit_p
EX_glcn_e,glcn_e --> 
GUACYC,gtp_c --> ppi_c + 35cgmp_c
4HTHRS,phthr_c + h2o_c --> pi_c + 4hthr_c
EX_glu__L_e,glu__L_e --> 
CMPN,h2o_c + cmp_c --> r5p_c + csn_c
ALPATE160pp,alpp_p + pe160_p --> 2agpe160_p + lpp_p
EX_arab__L_e,arab__L_e --> 
MMM,succoa_c --> mmcoa__S_c
PTA2,pi_c + ppcoa_c --> coa_c + ppap_c
APRAUR,nadph_c + h_c + 5apru_c --> 5aprbu_c + nadp_c
XYLUt2pp,h_p + xylu__L_p --> h_c + xylu__L_c
HYD3pp,h2_c + 2 h_c + 2dmmq8_c --> 2dmmql8_c + 2 h_p
GLBRAN2,glycogen_c --> bglycogen_c
UDPGDC,nad_c + udpglcur_c --> nadh_c + co2_c + udpLa4o_c
NTD10pp,h2o_p + xmp_p --> xtsn_p + pi_p
CITt7pp,succ_c + cit_p --> cit_c + succ_p
LIPOCT,h_c + ocACP_c --> octapb_c + ACP_c
EX_gal__bD_e,gal__bD_e --> 
LPLIPAL1G120pp,1agpg120_p + h2o_p --> ddca_p + h_p + g3pg_p
GMHEPK,gmhep7p_c + atp_c --> h_c + adp_c + gmhep17bp_c
FE3DCITabcpp,h2o_c + atp_c + fe3dcit_p --> 2 cit_c + fe3_c + adp_c + h_c + pi_c
TAURabcpp,h2o_c + atp_c + taur_p --> taur_c + h_c + adp_c + pi_c
EX_aso3_e,aso3_e --> 
EX_nmn_e,nmn_e --> 
ADNt2rpp,adn_p + h_p <=> adn_c + h_c
23PDE7pp,h2o_p + 23camp_p --> h_p + 3amp_p
PLIPA2E181pp,pe181_p + h2o_p --> 1agpe181_p + h_p + ocdcea_p
EX_enlipa_e,enlipa_e --> 
ACOAD5f,fad_c + ddcacoa_c <=> dd2coa_c + fadh2_c
23CUMPtex,23cump_e <=> 23cump_p
EX_cd2_e,cd2_e --> 
3OAS161,tdeACP_c + malACP_c + h_c --> 3ocpalm9eACP_c + co2_c + ACP_c
PMANM,man1p_c <=> man6p_c
PIt2rpp,h_p + pi_p <=> pi_c + h_c
ACMANAptspp,acmana_p + pep_c --> acmanap_c + pyr_c
GSNK,gsn_c + atp_c --> adp_c + gmp_c + h_c
MDH,mal__L_c + nad_c <=> oaa_c + nadh_c + h_c
NAt3_1p5pp,3 h_p + 2 na1_c --> 2 na1_p + 3 h_c
TYRTA,tyr__L_c + akg_c <=> glu__L_c + 34hpp_c
ASPK,asp__L_c + atp_c <=> adp_c + 4pasp_c
ASPT,asp__L_c --> fum_c + nh4_c
2AGPA180tipp,2odecg3p_p --> 2odecg3p_c
EX_sbt__D_e,sbt__D_e --> 
EX_na1_e,na1_e <=> 
LPLIPAL2ATE180,2agpe180_c + pg180_c --> apg180_c + g3pe_c
CYTBDpp,2 h_c + q8h2_c + 0.5 o2_c --> h2o_c + 2 h_p + q8_c
CYSTRS,trnacys_c + atp_c + cys__L_c --> amp_c + ppi_c + cystrna_c
GTPCII2,3 h2o_c + gtp_c --> for_c + 2 h_c + ppi_c + 25drapp_c
PPKr,atp_c + pi_c <=> adp_c + ppi_c
EX_g3pc_e,g3pc_e --> 
PLIPA1G141pp,pg141_p + h2o_p --> 2agpg141_p + h_p + ttdcea_p
MG2tpp,mg2_p --> mg2_c
MAN6Pt6_2pp,man6p_p + 2 pi_c --> 2 pi_p + man6p_c
PLIPA1G181pp,pg181_p + h2o_p --> 2agpg181_p + h_p + ocdcea_p
EX_feenter_e,feenter_e --> 
METSOX1abcpp,metsox__S__L_p + atp_c + h2o_c --> metsox__S__L_c + h_c + pi_c + adp_c
LCTStex,lcts_e <=> lcts_p
UAPGR,nadph_c + uaccg_c + h_c --> uamr_c + nadp_c
EX_g3pg_e,g3pg_e --> 
DURADx,nad_c + 56dura_c <=> h_c + nadh_c + ura_c
FADRx2,fad_c + h_c + nadph_c --> fadh2_c + nadp_c
MEPCT,ctp_c + h_c + 2me4p_c --> ppi_c + 4c2me_c
EX_g3pe_e,g3pe_e --> 
PROabcpp,pro__L_p + atp_c + h2o_c --> pro__L_c + h_c + pi_c + adp_c
MALTATr,accoa_c + malt_c <=> acmalt_c + coa_c
DHNPTE,dhnpt_c <=> dhmpt_c
EAR180x,h_c + toctd2eACP_c + nadh_c --> ocdcaACP_c + nad_c
EAR180y,nadph_c + h_c + toctd2eACP_c --> ocdcaACP_c + nadp_c
