reaction,value
GLNTRS,gln__L_c + trnagln_c + atp_c --> glntrna_c + amp_c + ppi_c
UMPK,atp_c + ump_c <=> udp_c + adp_c
G1PPpp,g1p_p + h2o_p --> glc__D_p + pi_p
EX_g6p_e,g6p_e --> 
ICHORSi,chor_c --> ichor_c
URIH,uri_c + h2o_c --> rib__D_c + ura_c
5MTRtex,5mtr_e <=> 5mtr_p
AMPTASEPG,progly_c + h2o_c --> gly_c + pro__L_c
DMPPS,h2mb4p_c + nadh_c + h_c --> h2o_c + dmpp_c + nad_c
EX_cmp_e,cmp_e --> 
NTD3pp,dcmp_p + h2o_p --> pi_p + dcyt_p
ACOAD3f,occoa_c + fad_c <=> oc2coa_c + fadh2_c
TRPS3,3ig3p_c --> indole_c + g3p_c
12PPDRtex,12ppd__R_e <=> 12ppd__R_p
EX_ile__L_e,ile__L_e --> 
MLDCP2Bpp,murein4p3p_p + h2o_p --> ala__D_p + murein3p3p_p
SHK3Dr,nadph_c + 3dhsk_c + h_c <=> skm_c + nadp_c
CRNDabcpp,h2o_c + atp_c + crn__D_p --> pi_c + crn__D_c + adp_c + h_c
LACZpp,lcts_p + h2o_p --> gal_p + glc__D_p
EX_so4_e,so4_e <=> 
FRULYSt2pp,h_p + frulys_p --> frulys_c + h_c
UAGCVT,uacgam_c + pep_c --> pi_c + uaccg_c
NTD2pp,ump_p + h2o_p --> pi_p + uri_p
URIC,2 h2o_c + o2_c + urate_c --> h2o2_c + co2_c + alltn_c
PYDXNtex,pydxn_e <=> pydxn_p
GGGABAH,h2o_c + gg4abut_c --> glu__L_c + 4abut_c
GLUNpp,gln__L_p + h2o_p --> nh4_p + glu__L_p
DALAtex,ala__D_e <=> ala__D_p
ALLPI,all6p_c <=> allul6p_c
NNDPR,quln_c + prpp_c + 2 h_c --> co2_c + nicrnt_c + ppi_c
EX_idon__L_e,idon__L_e --> 
HADPCOADH3,3hadpcoa_c + nad_c <=> oxadpcoa_c + nadh_c + h_c
CTPS2,gln__L_c + h2o_c + atp_c + utp_c --> ctp_c + glu__L_c + pi_c + adp_c + 2 h_c
EX_12ppd__R_e,12ppd__R_e --> 
EX_gln__L_e,gln__L_e --> 
TDPDRE,dtdp4d6dg_c --> dtdp4d6dm_c
GTHRDabcpp,h2o_c + atp_c + gthrd_p --> h_c + gthrd_c + pi_c + adp_c
PGPP181,pgp181_c + h2o_c --> pi_c + pg181_c
PGPP180,h2o_c + pgp180_c --> pi_c + pg180_c
EX_csn_e,csn_e --> 
D__LACtex,lac__D_e <=> lac__D_p
FE3DHBZR,fe3dhbzs_c --> fe3_c + 23dhbzs_c
GALTptspp,galt_p + pep_c --> pyr_c + galt1p_c
PHEt2rpp,h_p + phe__L_p <=> h_c + phe__L_c
EX_LalaDgluMdapDala_e,LalaDgluMdapDala_e --> 
CPGNtonex,cpgn_e + h_p --> cpgn_p + h_c
EX_crn_e,crn_e --> 
EX_uacgam_e,uacgam_e --> 
ACGAptspp,acgam_p + pep_c --> pyr_c + acgam6p_c
CS,accoa_c + oaa_c + h2o_c --> h_c + cit_c + coa_c
GLYCtpp,glyc_c <=> glyc_p
