,aerobic,anaerobic
b0530,8.153373333333334,13.509776666666667
b0531,0.43517366666666674,0.0
b0532,3.35249,5.49994
b0533,2.1356033333333335,0.9019499999999999
b0534,1.3161533333333333,2.9509433333333335
b0535,7.246849999999999,3.6394533333333334
b0537,77.7795,70.7569
b0539,3.955016666666667,1.6649366666666667
b0540,18.819733333333335,13.197306666666668
b0541,0.000184723,0.34603524122
b0542,19.23613333333333,25.144366666666667
b0543,88.76100000000001,35.5187
b0544,3.687230000000001,0.9544266666666666
b0545,17.4198,3.08919
b0546,43.57153333333333,50.0027
b0547,0.0,0.0
b0548,0.0,0.0
b0549,2.733166666666667,0.0
b0550,0.4249833333333333,0.8516733333333333
b0551,3.230036666666667,14.077873333333335
b0552,6.95805e-07,3.943276666666667e-07
b0553,867.6663333333332,698.6583333333333
b0554,11.321733333333333,7.949246666666667
b0555,11.192666666666668,17.835196666666665
b0556,3.3487233333333335,10.020400434163333
b0557,754.6123333333334,731.9956666666667
b0558,0.0,7.8684666666666665
b0559,20.79286666666667,127.70233333333333
b0560,2.5455466666666666,4.537376666666667
b0561,0.5131633333333333,4.097916666666666
b0562,25.634933333333333,23.081633333333333
b0563,5.326333333333333,22.543266666666668
b0564,95.31656666666667,309.817
b0565,5840.613333333334,4785.55
b0566,11.104676666666668,5.512276666666668
b0567,22.103700000000003,16.33983
b0568,19.488033333333334,26.3332
b0569,9.495616666666665,15.390233333333335
b0570,31.366133333333334,33.6472
b0571,64.38046666666666,53.560566666666666
b0572,19.3724,2.111053333333333
b0573,34.6989,10.7353
b0574,14.580666666666668,6.151050000000001
b0575,7.066456666666667,7.99887
b0576,79.4973,68.61903333333333
b0577,96.0148,116.91666666666667
b0578,516.654,497.5306666666667
b0579,79.50206666666666,61.51866666666667
b0580,50.222133333333325,26.140246666666666
b0581,68.08890000000001,28.356099999999998
b0582,90.7192,84.77706666666667
b0583,8.926373333333332,11.070223333333333
b0584,13.907766666666667,8.384866666666666
b0585,7.644813333333334,0.44221333333333335
b0586,11.181026666666668,7.175819999999999
b0587,0.3945596666666667,1.0970173333333333
b0588,18.302333333333333,1.6910533333333333
b0589,10.82443,5.843666666666667
b0590,8.567343333333334,1.997454
b0591,8.512653333333333,3.462326666666667
b0592,23.410433333333334,6.744576666666667
b0593,17.764766666666667,0.8137406666666666
b0594,18.322833333333335,3.2958466666666664
b0595,14.561866666666667,10.140023333333332
b0596,13.487186666666666,18.855333333333334
b0597,18.520266666666668,11.658030000000002
b0598,97.57003333333334,16.7142
b0599,93.90553333333332,144.72
b0600,87.37869999999998,162.65099999999998
b0601,15.358566666666666,16.877736666666667
b0602,5.597503333333333,5.628333333333334
b0603,4.355573333333333,0.9499466666666666
b0604,67.17613333333333,54.85456666666667
b0605,5769.423333333333,3607.9733333333334
b0606,303.03066666666666,435.0953333333334
b0607,265.897,474.15366666666665
b0608,31.228800000000003,15.216246666666665
b0610,129.873,89.70479999999999
b0611,143.97666666666666,128.70366666666666
b0612,4.274096666666666,3.8558066666666666
b0613,0.06845466666666666,0.237942
b0614,0.723583,0.9326433333333334
b0615,1.4998533333333333,2.9269266666666667
b0616,0.3841033333333333,2.325223333333333
b0617,0.0,3.6285216666666664
b0618,0.16497466666666666,0.4737833333333333
b0619,21.4849,28.343466666666668
b0620,32.027366666666666,43.035599999999995
b0621,7.202646666666666,197.611
b0622,7.088136666666666,18.66571
b0623,19139.966666666667,22277.233333333334
b0624,96.37566666666667,255.1
b0627,240.77133333333336,622.1283333333334
b0628,361.76366666666667,515.8006666666666
b0629,10.053846666666667,7.15281
b0630,168.38533333333334,141.02833333333334
b0631,397.37266666666665,542.1253333333333
b0632,398.201,306.82666666666665
b0633,316.86466666666666,315.393
b0634,121.16366666666666,114.56133333333334
b0635,126.085,92.63636666666666
b0636,228.25,209.33733333333336
b0637,391.8286666666667,332.31566666666663
b0638,56.097433333333335,52.04483333333334
b0639,136.55100000000002,145.986
b0640,186.07366666666667,164.85666666666665
b0641,678.7323333333334,602.4609999999999
b0642,599.6263333333334,551.5313333333334
b0643,237.20333333333335,161.393
b0644,5.049293333333334,9.26219
b0645,1.2265463333333335,5.725550000000001
b0646,1.7127033333333335,1.844663333333333
b0647,0.36716333333333334,0.23149699999999998
b0648,3.9247600000000005,1.0794666666666666
b0649,14.535566666666668,16.205996666666667
b0650,5.554826666666667,11.57117
b0651,55.05923333333333,41.62996666666667
b0652,93.31923333333333,42.7661
b0653,81.75433333333332,26.618966666666665
b0654,75.97523333333334,26.980833333333333
b0655,497.76800000000003,93.72249999999998
b0656,147.13266666666667,169.76433333333333
b0657,131.74133333333333,157.524
b0658,561.2406666666667,627.6073333333333
b0659,303.1643333333334,295.1093333333333
b0660,357.6603333333333,375.603
b0661,344.8776666666667,234.06133333333332
b0662,109.7068,136.99566666666666
b0674,184.6263333333333,265.78299999999996
b0675,333.88399999999996,360.38166666666666
b0676,173.71433333333334,258.22833333333335
b0677,135.101,113.00416666666666
b0678,221.52566666666667,114.27033333333334
b0679,112.677,87.89683333333335
b0680,634.0100000000001,590.7556666666667
b0681,2.282349,4.316603333333333
b0682,22.21026,36.34623333333333
b0683,1088.3266666666666,692.73
b0684,767.975,573.438
b0685,62.7783,65.95653333333334
b0686,88.11176666666667,85.7378
b0687,491.27466666666663,430.07300000000004
b0688,480.46999999999997,529.8106666666666
b0689,16.01304,10.882986666666666
b0691,2.9770366666666668,2.99149
b0692,15.125366666666666,18.275199999999998
b0693,1.96375,3.494033333333333
b0694,28.26243333333333,39.748666666666665
b0695,35.3787,60.8809
b0696,19.964433333333336,22.841866666666665
b0697,4.760486666666666,10.519563333333332
b0698,2.189503333333333,7.124596666666666
b0699,190.37033333333332,515.302
b0700,6.7873833333333335,17.9479
b0702,9.9275,13.936779999999999
b0703,5.251916666666666,5.538706666666666
b0704,14.131833333333333,6.136006666666667
b0705,2.48773,2.692623333333333
b0706,4.666013333333333,4.4763399999999995
b0707,136.31266666666667,37.8427
b0708,62.160066666666665,23.1511
b0709,34.15823333333333,65.318
b0710,276.03333333333336,261.47066666666666
b0711,265.0906666666667,293.2963333333333
b0712,260.265,281.635
b0713,147.12333333333333,173.33933333333334
b0714,99.65623333333333,91.59773333333334
b0715,11.495996666666665,73.6191
b0716,4.267223333333333,8.074646666666668
b0717,1.4298566666666668,9.36989
b0718,0.44633133333333336,0.9546733333333334
b0719,2.7982266666666664,1.3504366666666667
b0720,1709.3799999999999,413.13466666666665
b0721,1062.2733333333333,25.100399999999997
b0722,1207.8666666666668,21.297700000000003
b0723,979.2353333333334,15.630766666666666
b0724,1230.9233333333334,44.16773333333333
b0726,816.2766666666666,121.55900000000001
b0727,1104.3446666666666,181.99833333333333
b0728,1139.0033333333333,145.442
b0729,1395.0166666666667,158.049
b0730,41.9081,34.286899999999996
b0731,1.156195,0.026413333333333334
b0732,16.7045,27.6027
b0733,555.506,842.6566666666668
b0734,490.13266666666664,827.0486666666666
b0735,274.40333333333336,511.9213333333334
b0736,309.9336666666666,403.7
b0737,316.934,414.66333333333336
b0738,169.83966666666666,184.037
b0739,137.16466666666668,213.995
b0740,1036.8666666666666,1034.2496666666666
b0741,4365.599999999999,4140.533333333334
b0742,1203.0166666666667,1119.8633333333335
b0750,424.7266666666667,659.2213333333333
b0751,281.347,521.561
b0752,52.7639,61.54406666666667
b0753,158.98366666666666,14.579766666666666
b0754,1606.9099999999999,2077.4
b0755,1998.1899999999998,402.8296666666667
b0756,474.6413333333333,454.50233333333335
b0757,146.15900000000002,183.665
b0758,69.87866666666667,36.39013333333333
b0759,114.782,73.03956666666666
b0760,195.45166666666668,118.27533333333334
b0761,84.16563333333333,139.72366666666667
b0762,954.1700000000001,558.5126666666666
b0763,123.504,2253.3766666666666
b0764,81.2019,1344.2630000000001
b0765,64.67436666666667,433.85833333333335
b0766,89.43663333333332,76.3035
b0767,442.79,285.7863333333333
b0768,3.6083199999999995,0.9226656666666666
b0769,0.7454230000000001,3.2412300000000003
b0770,1.9069466666666666,1.0460013333333333
b0771,4.124759999999999,5.597196666666666
b0772,338.539,284.1943333333333
b0773,270.6313333333333,156.501
b0774,100.87363333333333,36.697966666666666
b0775,227.553,96.38286666666666
b0776,146.69266666666667,67.47269999999999
b0777,145.32833333333335,87.13726666666666
b0778,190.99533333333332,87.05026666666667
b0779,117.47966666666666,128.48233333333334
b0780,93.96346666666666,54.437266666666666
b0781,218.73366666666666,152.022
b0782,283.5826666666667,172.506
b0783,308.8536666666667,182.6303333333333
b0784,75.94113333333333,59.329033333333335
b0785,231.135,180.81566666666666
b0786,391.78566666666666,337.2803333333333
b0787,14.220233333333335,8.360166666666666
b0788,29.987566666666666,15.307336666666666
b0789,63.86866666666666,41.124500000000005
b0790,72.58433333333333,35.42536666666667
b0791,63.919033333333324,42.02273333333333
b0792,30.270333333333337,31.49593333333333
b0793,28.96896666666667,38.21366666666667
b0794,55.820366666666665,66.7214
b0795,59.36486666666667,88.80709999999999
b0796,66.81003333333332,69.7766
b0797,65.56156666666668,80.39133333333332
b0798,16.280633333333334,14.528586666666667
b0799,28.12506666666667,29.128233333333338
b0800,200.25,186.49533333333332
b0801,533.9813333333333,462.26833333333326
